Name;Vorname;Bankverbindung;Kurse;Email;Telefon;Adresse
Battner;Eva;;Gesang;;;
Mitz;Martina;;Gesang;;;
Jäger;Dirk;;Gitarre;;;
Grifftith;Tom;;Schlagzeug;;;
Betz;Kevin;;Schlagzeug;;;
Gründgens;Ingrid;;Klavier, Keyboard;;;
Bach;Anke;;Gesang;;;
Eisenmann;Tim;;Bass;;;
Kelter;Marc;;Trompete;;;
Bachmann;Charlotte;;Gesang;;;
Ahmendt;Hannah;;Gitarre, Gesang;;;
Jacobs;Jana;;Gitarre;;;
Dotzler;Lukas;;Gesang;;;
Sterling;Lukas;;Gitarre;;;
Escher;Bernd;;Klavier;;;
Borchers;Tobias;;Klavier;;;
Zobel;Kai;;Keyboard;;;
Zimmermann;Sascha;;Saxophone;;;
Brödner;Vicky;;Schlagzeug;;;
Babbage;Marlene;;Gesang, Klavier;;;
Pollmann;Corinna;;Gesang;;;
Neumann;Susanne;;Gesang, Klavier;;;
Bukowski;Kim;;Trompete;;;
Schmidt;Erika;;Saxophone;;;
Müller;Andrea;;Ukulele;;;
Meier;Michael;;Schlagzeug;;;
Hendrichs;Christine;;Gesang;;;
